"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Purdue",70.0192,142,69.06,111,112.647,21,116.941,25,96.713,34,93.8229,23,23.1182,19
"2017","Quinnipiac",74.8428,12,73.0898,12,101.218,222,101.526,230,110.276,318,112.963,319,-11.4364,294
"2017","Radford",65.2646,325,63.9234,325,96.7223,307,96.1504,317,106.323,233,107.85,236,-11.7,296
"2017","Rhode Island",67.4081,273,66.3223,261,108.958,61,111.478,57,96.7455,35,95.2119,30,16.2657,34
"2017","Rice",73.72,27,72.6589,16,108.661,71,107.848,109,102.818,156,107.113,219,0.734853,155
"2017","Richmond",69.7297,163,68.8828,120,106.165,115,110.009,74,102.686,152,102.8,133,7.20908,92
"2017","Rider",74.0446,22,72.1451,24,101.565,210,100.84,245,101.64,130,104.538,174,-3.69807,208
"2017","Robert Morris",69.9354,151,68.7318,132,91.4943,344,91.6565,341,96.3711,31,100.42,85,-8.76366,266
"2017","Rutgers",67.1803,282,66.1765,266,96.6196,309,101.442,231,100.425,92,99.2185,69,2.22388,135
"2017","Sacramento St.",67.5213,268,65.4958,293,102.629,182,100.951,241,110.044,313,112.197,310,-11.2459,291
"2017","Sacred Heart",71.9149,61,71.0033,50,99.0012,266,97.5703,297,103.689,174,109.682,272,-12.1116,301
"2017","Saint Joseph's",69.6948,166,68.352,165,99.0066,265,102.19,215,104.281,192,103.239,141,-1.04921,183
"2017","Saint Louis",65.5487,320,63.4517,331,93.0083,337,95.3877,324,105.175,211,104.968,181,-9.58031,273
"2017","Saint Mary's",61.2371,350,60.1562,350,117.741,3,118.694,14,93.5471,9,95.0327,27,23.6616,15
"2017","Saint Peter's",63.5154,347,61.2405,347,103.648,171,102.562,210,95.0618,18,95.8855,36,6.67697,95
"2017","Sam Houston St.",72.0206,56,70.0194,77,98.5098,275,97.2375,299,100.085,80,103.424,153,-6.18687,234
"2017","Samford",69.3238,185,68.5341,149,108.141,81,107.765,111,105.537,217,107.502,227,0.263136,166
"2017","San Diego",64.3769,340,63.2397,335,96.9519,302,100.055,258,108.11,268,108.447,247,-8.39145,260
"2017","San Diego St.",66.6847,296,64.8485,308,101.841,204,104.093,181,93.9561,13,95.1001,29,8.9925,78
"2017","San Francisco",69.4277,181,69.0986,109,102.132,199,102.816,204,97.2137,39,98.0732,59,4.74247,111
"2017","San Jose St.",71.6272,67,70.6295,57,98.2341,281,100.364,252,104.484,194,104.462,171,-4.09793,213
"2017","Santa Clara",63.9552,341,62.4981,343,102.467,188,105.529,149,101.508,126,102.726,131,2.80269,126
"2017","Savannah St.",82.9977,1,80.9541,1,101.361,217,100.558,249,109.727,306,114.693,333,-14.1352,317
"2017","Seattle",70.0379,141,67.5952,206,95.3111,324,95.9837,318,101.567,129,104.728,177,-8.74403,265
"2017","Seton Hall",69.0202,206,67.4761,214,104.667,148,109.453,83,100.936,110,95.8154,34,13.6379,51
"2017","Siena",70.7365,106,68.6121,140,105.663,127,106.198,140,105.279,214,106.354,206,-0.155996,170
"2017","SIU Edwardsville",70.8969,99,69.1622,106,95.4797,322,95.0591,327,108.255,272,109.211,263,-14.1519,318
"2017","SMU",63.7032,346,63.3828,333,116.459,9,119.771,10,94.3413,14,95.0299,26,24.7415,11
"2017","South Alabama",70.7221,107,69.6606,87,98.6445,270,98.7485,277,103.727,176,105.505,191,-6.7567,243
"2017","South Carolina",69.5582,173,68.5512,147,103.083,178,108.923,91,92.4932,6,88.1173,3,20.8054,24
"2017","South Carolina St.",69.3443,184,68.2399,173,97.8511,290,99.0014,271,115.011,342,118.469,348,-19.4672,336
"2017","South Dakota",72.7682,42,70.6846,54,105.301,140,104.152,179,102.901,157,102.666,125,1.48607,143
"2017","South Dakota St.",69.216,191,67.1387,222,108.84,67,110.212,71,111.219,327,111.405,303,-1.19276,185
"2017","South Florida",69.2088,192,68.6612,137,93.3369,334,96.4423,313,107.589,262,107.721,234,-11.2791,292
"2017","Southeast Missouri St.",69.9303,152,68.4802,152,104.787,145,103.413,191,107.048,249,109.286,266,-5.87285,228
"2017","Southeastern Louisiana",69.1979,195,67.0477,228,100.723,232,97.7756,294,99.5685,67,103.833,160,-6.05714,231
"2017","Southern",69.4889,177,68.4373,156,101.244,220,97.9337,290,105.268,213,113.642,322,-15.7083,326
"2017","Southern Illinois",66.1022,311,65.3064,300,101.035,227,104.772,163,103.334,165,103.682,158,1.08974,150
"2017","Southern Miss",67.2989,276,65.4601,294,91.0921,345,92.9687,334,106.824,242,108.489,249,-15.52,325
"2017","Southern Utah",73.0392,34,71.3075,36,102.499,186,101.29,234,116.522,348,119.615,349,-18.3251,333
"2017","St. Bonaventure",70.5546,113,68.6767,136,108.079,83,109.042,89,101.505,125,101.811,108,7.23047,91
